ORIGEN,PUERTO,LOCODE,COD_SIRENO,UNIPESCOD,ARTE,tipo_muestreo,TIP_MUESTREO,COD_DIVISION_SIRENO
Subdivisión VIIIc-Este,Luarca,ESLUA,1420,VOLANTA_CN,VOLANTA,MT2A,2,008
Subdivisión VIIIc-Este,A Coruña,ESLCG,907,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,JURELERA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,BETA_CN,BETA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT2A,2,008
Subdivisión VIIIc-Este,San Vicente de la Barquera,ESSVB,405,RASCO_CN,RASCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,BACA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,San Vicente de la Barquera,ESSVB,405,RASCO_CN,RASCO,MT1A,1,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,A Coruña,ESLCG,907,PALANGRE_CN,PALANGRE DE FONDO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT1A,1,008
Subdivisión VIIIc-Este,A Coruña,ESLCG,907,PAREJA_CN,PAREJA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PAREJA_CN,PAREJA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PAREJA_CN,PAREJA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,VOLANTA_CN,VOLANTA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,BETA_CN,BETA,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,TRASMALL_CN,TRASMALLO,MT2A,2,008
Subdivisión VIIIc-Este,Cedeira,ESCED,904,RASCO_CN,RASCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,CERCO_CN,CERCO,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,NASAPULP_CN,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,VOLANTA_CN,VOLANTA,MT1A,1,008
Subdivisión VIIIc-Este,Burela,ESBRL,925,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,CERCO_CN,CERCO,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,RASCO_CN,RASCO,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT2A,2,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,NASAPULP_CN,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,TRASMALL_CN,TRASMALLO,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,VOLANTA_CN,VOLANTA,MT2A,2,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,TRASMALL_CN,MIÑO,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,BACA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Burela,ESBRL,925,BACA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,LIN_CABALLA,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,BACA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,JURELERA_CN,BACA,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,NASA_NECORA,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_CABALLA,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,BACA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_CALAMAR,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_MERLUZA,LINEAS FIJAS,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,LIN_CABALLA,LINEAS FIJAS,MT2A,2,008
Subdivisión VIIIc-Este,Santa Eugenia de Ribeira,ESSNI,917,PALANGRE_CN,PALANGRES,MT2A,2,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,LIN_CABALLA,LINEAS FIJAS,MT2A,2,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,RASCO_CN,RASCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,TRASMALL_CN,TRASMALLO,MT1A,1,008
Subdivisión VIIIc-Este,Avilés,ESAVS,1418,NASA_PECES,NASA,MT1A,1,008
Subdivisión VIIIc-Este,Santoña,ESSNN,409,CERCO_CN,CERCO,MT2A,2,008
Subdivisión VIIIc-Este,Gijón,ESGIJ,1417,JURELERA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,BETA_CN,BETA,MT1A,1,008
Subdivisión VIIIc-Este,Santander,ESSDR,402,JURELERA_CN,BACA,MT1A,1,008
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Gijón,ESGIJ,1417,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Marín,ESMPG,921,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT1A,1,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,TRASMALL_CN,TRASMALLO,MT1A,1,009
Subdivisión VIIIc-Oeste,Cedeira,ESCED,904,VOLANTA_CN,VOLANTA,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,CERCO_CN,CERCO,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,JURELERA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,LIN_CABALLA,LINEAS FIJAS,MT1A,1,009
Subdivisión VIIIc-Oeste,Finisterre,ESFNE,913,BETA_CN,BETA,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,CERCO_CN,CERCO,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,BACA_CN,BACA,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,NASAPULP_CN,NASA,MT2A,2,009
Subdivisión VIIIc-Oeste,Cedeira,ESCED,904,RASCO_CN,RASCO,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,PAREJA_CN,PAREJA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,CERCO_CN,CERCO,MT2A,2,009
Subdivisión VIIIc-Oeste,Avilés,ESAVS,1418,PALANGRE_CN,PALANGRES SIN IDENTIFICAR,MT1A,1,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,PAREJA_CN,PAREJA,MT2A,2,009
Subdivisión VIIIc-Oeste,Burela,ESBRL,925,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,A Coruña,ESLCG,907,PALANGRE_CN,PALANGRE DE FONDO,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,JURELERA_CN,BACA,MT1A,1,009
Subdivisión VIIIc-Oeste,Burela,ESBRL,925,JURELERA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Santa Eugenia de Ribeira,ESSNI,917,BACA_CN,BACA,MT2A,2,009
Subdivisión VIIIc-Oeste,Finisterre,ESFNE,913,VOLANTA_CN,VOLANTA,MT1A,1,009
